wavenumber,d2-fructose_avg,d2-fructose_count,d7-glucose_avg,d7-glucose_count,d-tyrosine_avg,d-tyrosine_count,d-methionine_avg,d-methionine_count,d-leucine_avg,d-leucine_count
2248.19,0.7337905064085342,2906,0.5419934970651193,61464,0.7418881429444285,16837,0.790446510577459,1458,0.7769594325339584,6608
2251.16,0.7591361671877783,2906,0.5884918031527805,61464,0.7655006975983387,16837,0.8019074264377193,1458,0.8051312857753086,6608
2254.12,0.5661324422277624,2906,0.3532513521205765,61464,0.6045671617202883,16837,0.6148182104528013,1458,0.6401653511617804,6608
2257.08,0.7004268960970107,2906,0.501960721248015,61464,0.7449317155700867,16837,0.7734627812980117,1458,0.7927149425611149,6608
2260.04,0.661376069530407,2906,0.43731766699886515,61464,0.7021261512381307,16837,0.6943035472692816,1458,0.7575244167975064,6608
2263.0,0.7036960043340307,2906,0.4996965176629907,61464,0.7337958392124218,16837,0.7256462652670328,1458,0.7836779752235998,6608
2265.95,0.7028397018867956,2906,0.4951747816149417,61464,0.7402519805633982,16837,0.737420802031088,1458,0.7850326071763962,6608
2268.9,0.6874999858121291,2906,0.4533889087981757,61464,0.690852207084092,16837,0.7110181088632449,1458,0.7518213925686967,6608
2271.84,0.6513395887380629,2906,0.4001315160477387,61464,0.6432886923132158,16837,0.6554661554286882,1458,0.6962743725693209,6608
2274.78,0.6647148758896058,2906,0.4309490951161187,61464,0.6633810026614596,16837,0.691236716276826,1458,0.7188054580095811,6608
2277.72,0.5224516875387923,2906,0.2848010956248003,61464,0.49628260920632894,16837,0.5183871349982384,1458,0.5551460027241644,6608
2280.66,0.645222740344023,2906,0.39669693666377376,61464,0.6157260787375438,16837,0.6276370678711717,1458,0.6757664706109753,6608
2283.59,0.7383738898603924,2906,0.5149402383544401,61464,0.706822972631816,16837,0.6722154156797261,1458,0.7439179466440539,6608
2286.52,0.7260998096199077,2906,0.5110983161922902,61464,0.7077916283613055,16837,0.6717158835794245,1458,0.7448435523425708,6608
2289.45,1.0,2906,1.0,61464,1.0,16837,0.9171657156379931,1458,1.0,6608
2292.37,0.8810413119828993,2906,0.8113928265662814,61464,0.9070863463370218,16837,0.8361068107547859,1458,0.9130385810996255,6608
2295.29,0.7975484694026442,2906,0.5891648302753885,61464,0.7511608935313406,16837,0.7203826471798884,1458,0.7869249926848358,6608
2298.21,0.8761092062647662,2906,0.7626691532267038,61464,0.8500672928691031,16837,0.7972217852446825,1458,0.8664908777887709,6608
2301.12,0.9556590058882253,2906,0.9504566768856515,61464,0.9711679518200378,16837,0.8747681366641753,1458,0.9569021256249243,6608
