wavenumber,d-methionine_raw,d-methionine_prob,d-leucine_raw,d-leucine_prob
2265.95,152.42021052811927,0.9999988,975.1251145032791,0.99362755
2268.9,147.6942872809444,0.9999988,852.8571110125507,0.99362755
2271.84,141.43953973369318,0.9999988,876.7937914593092,0.99362755
2274.78,123.57309661655664,0.9999988,1065.686463120923,0.99362755
2277.72,124.13131021267752,0.9999988,1046.95932724344,0.99362755
2280.66,142.26841279565184,0.9999988,900.6960757011752,0.99362755
2283.59,146.30803887584224,0.9999988,793.4540120332974,0.99362755
2286.52,139.35272668339962,0.9999988,841.8457679515219,0.99362755
2289.45,121.81327187535078,0.9999988,999.5104249304937,0.99362755
2292.37,135.83990315099578,0.9999988,1007.9405695012565,0.99362755
2295.29,139.27633081586737,0.9999988,1007.6629003846565,0.99362755
2298.21,154.38462540102017,0.9999988,1026.7353490105368,0.99362755
2301.12,133.67059326171875,0.9999988,1139.3255615234375,0.99362755
