wavenumber,d-methionine_avg,d-methionine_count,d-leucine_avg,d-leucine_count
2108.27,0.8943947352393031,159871,0.6166317981821995,239
2111.38,0.8967373547878714,159871,0.6113869885193741,239
2114.49,0.882296432516226,159871,0.5988170152314443,239
2117.6,0.8988109265668824,159871,0.6271182220983783,239
2120.7,0.9099867149646355,159871,0.6494797367820403,239
2123.8,0.8909732803344431,159871,0.6204493895178769,239
2126.9,0.9129482484642043,159871,0.6385750312371089,239
2129.99,0.9037343520358972,159871,0.6261536669316716,239
2133.08,0.9120062253680885,159871,0.6249018452218726,239
2136.17,0.9162305960595991,159871,0.6507157631811596,239
2139.25,0.9220392382719261,159871,0.6552443714527968,239
2142.33,0.9171502017572357,159871,0.6525790044011885,239
2145.41,0.9335185502705348,159871,0.6717961030444372,239
2148.49,0.9377125610701488,159871,0.6797001321174747,239
2151.56,0.9418632817161086,159871,0.6722822604467896,239
2154.63,0.9568671976870801,159871,0.698006087594541,239
2157.69,0.9557756374053054,159871,0.7000529784443222,239
2160.75,0.9963929928072208,159871,0.7512293307542462,239
2163.81,0.9861667251701625,159871,0.7457136686758923,239
2166.87,0.9888000329400292,159871,0.7344834308174789,239
2169.92,0.9843198777918325,159871,0.7472532557760365,239
2172.97,0.9798782705202208,159871,0.7182515784196498,239
2176.02,0.9776030067870268,159871,0.7276680274402612,239
2179.06,0.9859984389882462,159871,0.7459905962468091,239
2182.1,0.9976788536492843,159871,0.7754563441592753,239
2185.14,0.9863438779069191,159871,0.7686625411406579,239
2188.17,0.9836048926656844,159871,0.7759229969159502,239
2191.2,0.9855357331957009,159871,0.8055728436165932,239
2194.23,0.9887548143301473,159871,0.8058455838071871,239
2197.26,0.9771635404332146,159871,0.8006387056458918,239
2200.28,0.9682685416043597,159871,0.8058505357159602,239
2203.3,0.9676888708464878,159871,0.8082742806955149,239
2206.31,0.972199236237888,159871,0.8251617803211438,239
2209.32,0.9583169269513523,159871,0.8083567188777779,239
2212.33,0.9486781624999449,159871,0.7833195397453072,239
2215.34,0.9605111747963413,159871,0.7977692583687498,239
2218.34,0.9612552981393186,159871,0.809381613544236,239
2221.34,0.9610753300493353,159871,0.8100070837041942,239
2224.34,0.9658107230117403,159871,0.8111515960906397,239
2227.33,0.9663951720198081,159871,0.8226231117081894,239
2230.32,0.9505121187792155,159871,0.8197623602554707,239
2233.3,0.9398690206796414,159871,0.8147509283353161,239
2236.29,0.9551308085044163,159871,0.8330570184694517,239
2239.27,0.9580773804038861,159871,0.8334075752739687,239
2242.24,0.9662604451581196,159871,0.828733350004526,239
2245.22,0.9647101187446414,159871,0.8324293948829131,239
2248.19,0.9524352366812543,159871,0.8420398071095027,239
2251.16,0.937839633466267,159871,0.8423753053994132,239
2254.12,0.9425182857716685,159871,0.8509190288132968,239
2257.08,0.9580020093174779,159871,0.8818977357541279,239
2260.04,0.9768180923635252,159871,0.9355718695911796,239
2263.0,0.9707820672810574,159871,0.9135491212456452,239
2265.95,0.9571154510838684,159871,0.9047505511700475,239
2268.9,0.9742139578868884,159871,0.926124574975917,239
2271.84,0.9849042308513898,159871,0.9411303132636494,239
2274.78,0.9735413201924099,159871,0.9414207332688148,239
2277.72,0.9817507539120711,159871,0.954749947063441,239
2280.66,0.9772349327033929,159871,0.9419456178209719,239
2283.59,0.960171830845103,159871,0.9274743041824641,239
2286.52,0.9637291773821921,159871,0.951052558340665,239
2289.45,0.9607670573643892,159871,0.9510893436928857,239
2292.37,0.9756864147952162,159871,0.9683105257033781,239
2295.29,0.9784967401550178,159871,0.9639604603141199,239
2298.21,0.9767107708169445,159871,0.972268336331482,239
2301.12,1.0,159871,1.0,239
